"V1" "V2"
"tr_3_pm_2_21.fasta" "245"
"tr_3_pm_2_22.fasta" "231"
"tr_3_pm_2_23.fasta" "228"
"tr_3_pm_2_24.fasta" "247"
"tr_3_pm_2_25.fasta" "255"
"tr_3_pm_2_26.fasta" "239"
"tr_3_pm_2_27.fasta" "218"
"tr_3_pm_2_28.fasta" "243"
"tr_3_pm_2_29.fasta" "238"
"tr_3_pm_2_30.fasta" "250"
"tr_3_pm_3_1.fasta" "230"
"tr_3_pm_3_2.fasta" "231"
"tr_3_pm_3_3.fasta" "222"
"tr_3_pm_3_4.fasta" "234"
"tr_3_pm_3_5.fasta" "219"
"tr_3_pm_3_6.fasta" "233"
"tr_3_pm_3_7.fasta" "241"
"tr_3_pm_3_8.fasta" "257"
"tr_3_pm_3_9.fasta" "200"
"tr_3_pm_3_10.fasta" "213"
"tr_3_pm_3_11.fasta" "223"
"tr_3_pm_3_12.fasta" "231"
"tr_3_pm_3_13.fasta" "237"
"tr_3_pm_3_14.fasta" "218"
"tr_3_pm_3_15.fasta" "238"
"tr_3_pm_3_16.fasta" "220"
"tr_3_pm_3_17.fasta" "214"
"tr_3_pm_3_18.fasta" "229"
"tr_3_pm_3_19.fasta" "231"
"tr_3_pm_3_20.fasta" "237"
"tr_3_pm_3_21.fasta" "254"
"tr_3_pm_3_22.fasta" "254"
"tr_3_pm_3_23.fasta" "235"
"tr_3_pm_3_24.fasta" "259"
"tr_3_pm_3_25.fasta" "218"
"tr_3_pm_3_26.fasta" "229"
"tr_3_pm_3_27.fasta" "237"
"tr_3_pm_3_28.fasta" "224"
"tr_3_pm_3_29.fasta" "243"
"tr_3_pm_3_30.fasta" "223"
"tr_4_pm_1_1.fasta" "286"
"tr_4_pm_1_2.fasta" "288"
"tr_4_pm_1_3.fasta" "284"
"tr_4_pm_1_4.fasta" "268"
"tr_4_pm_1_5.fasta" "277"
"tr_4_pm_1_6.fasta" "242"
"tr_4_pm_1_7.fasta" "268"
"tr_4_pm_1_8.fasta" "297"
"tr_4_pm_1_9.fasta" "268"
"tr_4_pm_1_10.fasta" "296"
"tr_4_pm_1_11.fasta" "289"
"tr_4_pm_1_12.fasta" "266"
"tr_4_pm_1_13.fasta" "290"
"tr_4_pm_1_14.fasta" "275"
"tr_4_pm_1_15.fasta" "279"
"tr_4_pm_1_16.fasta" "291"
"tr_4_pm_1_17.fasta" "277"
"tr_4_pm_1_18.fasta" "277"
"tr_4_pm_1_19.fasta" "278"
"tr_4_pm_1_20.fasta" "273"
"tr_4_pm_1_21.fasta" "286"
"tr_4_pm_1_22.fasta" "283"
"tr_4_pm_1_23.fasta" "270"
"tr_4_pm_1_24.fasta" "268"
"tr_4_pm_1_25.fasta" "270"
"tr_4_pm_1_26.fasta" "241"
"tr_4_pm_1_27.fasta" "259"
"tr_4_pm_1_28.fasta" "254"
"tr_4_pm_1_29.fasta" "299"
"tr_4_pm_1_30.fasta" "285"
"tr_4_pm_1_31.fasta" "276"
"tr_4_pm_1_32.fasta" "268"
"tr_4_pm_1_33.fasta" "276"
"tr_4_pm_1_34.fasta" "277"
"tr_4_pm_1_35.fasta" "290"
"tr_4_pm_1_36.fasta" "256"
"tr_4_pm_1_37.fasta" "274"
"tr_4_pm_1_38.fasta" "256"
"tr_4_pm_1_39.fasta" "276"
"tr_4_pm_1_40.fasta" "275"
"tr_4_pm_2_1.fasta" "262"
"tr_4_pm_2_2.fasta" "245"
"tr_4_pm_2_3.fasta" "260"
"tr_4_pm_2_4.fasta" "252"
"tr_4_pm_2_5.fasta" "244"
"tr_4_pm_2_6.fasta" "239"
"tr_4_pm_2_7.fasta" "252"
"tr_4_pm_2_8.fasta" "232"
"tr_4_pm_2_9.fasta" "243"
"tr_4_pm_2_10.fasta" "241"
"tr_4_pm_2_11.fasta" "260"
"tr_4_pm_2_12.fasta" "254"
"tr_4_pm_2_13.fasta" "266"
"tr_4_pm_2_14.fasta" "236"
"tr_4_pm_2_15.fasta" "252"
"tr_4_pm_2_16.fasta" "269"
"tr_4_pm_2_17.fasta" "256"
"tr_4_pm_2_18.fasta" "292"
"tr_4_pm_2_19.fasta" "260"
"tr_4_pm_2_20.fasta" "242"
"tr_4_pm_2_21.fasta" "267"
"tr_4_pm_2_22.fasta" "252"
"tr_4_pm_2_23.fasta" "262"
"tr_4_pm_2_24.fasta" "254"
"tr_4_pm_2_25.fasta" "267"
"tr_4_pm_2_26.fasta" "257"
"tr_4_pm_2_27.fasta" "273"
"tr_4_pm_2_28.fasta" "258"
"tr_4_pm_2_29.fasta" "250"
"tr_4_pm_2_30.fasta" "273"
