"V1" "V2"
"tr_4_2.fasta" 9.97292218853458 -6.89095334897654
"tr_4_20.fasta" 8.91361916704219 -5.38887681214856
"tr_4_21.fasta" 10.0114425667402 -5.57107576335857
"tr_4_22.fasta" 10.0114425667402 -5.57107576335857
"tr_4_23.fasta" 10.0114425667402 -5.57107576335857
"tr_4_24.fasta" 10.0114425667402 -5.57107576335857
"tr_4_25.fasta" 10.0114425667402 -5.57107576335857
"tr_4_26.fasta" 10.0114425667402 -5.57107576335857
"tr_4_27.fasta" 8.91361916704219 -5.38887681214856
"tr_4_28.fasta" 9.79060856442656 -5.66821362431772
"tr_4_29.fasta" 10.0114425667402 -5.57107576335857
"tr_4_3.fasta" 11.7592387700928 -6.42607157552542
"tr_4_30.fasta" 9.51288763988355 -7.29777969326994
"tr_4_31.fasta" 8.95907183788905 -5.78732997615813
"tr_4_32.fasta" 11.6667008000083 -6.95973309003609
"tr_4_33.fasta" 10.0114425667402 -5.57107576335857
"tr_4_34.fasta" 9.51288763988355 -7.29777969326994
"tr_4_35.fasta" 8.0905612633095 -5.63995131163916
"tr_4_36.fasta" 10.0114425667402 -5.57107576335857
"tr_4_37.fasta" 10.0114425667402 -5.57107576335857
"tr_4_38.fasta" 8.38287631620424 -6.98621771036085
"tr_4_39.fasta" 9.38472049580952 -7.16737340556932
"tr_4_4.fasta" 10.6935283244722 -8.04160056278116
"tr_4_40.fasta" 10.0114425667402 -5.57107576335857
"tr_4_41.fasta" 10.0114425667402 -5.57107576335857
"tr_4_42.fasta" 10.0114425667402 -5.57107576335857
"tr_4_43.fasta" 10.9154263077639 -5.48145658368246
"tr_4_44.fasta" 10.9063062729872 -5.5005594385695
"tr_4_45.fasta" 10.0114425667402 -5.57107576335857
"tr_4_46.fasta" 10.0114425667402 -5.57107576335857
"tr_4_47.fasta" 9.60855577647971 -5.62516098721159
"tr_4_48.fasta" 9.21555661659732 -5.14008052435306
"tr_4_49.fasta" 10.0114425667402 -5.57107576335857
"tr_4_5.fasta" 10.0114425667402 -5.57107576335857
"tr_4_50.fasta" 10.0114425667402 -5.57107576335857
"tr_4_51.fasta" 5.97806453219873 -5.43042197286292
"tr_4_52.fasta" 9.23561571135554 -6.08291090623382
"tr_4_53.fasta" 9.94872088724517 -5.50363259603144
"tr_5_1.fasta" -1.46528318715602 -11.1615160769854
"tr_5_10.fasta" -3.26857949580256 -10.4025741849789
"tr_5_11.fasta" -3.26857949580256 -10.4025741849789
"tr_5_12.fasta" -3.26857949580256 -10.4025741849789
"tr_5_13.fasta" -4.26863276969525 -10.3449333976966
"tr_5_14.fasta" -3.26857949580256 -10.4025741849789
"tr_5_15.fasta" -2.60346348091599 -10.7186096832971
"tr_5_16.fasta" -3.26857949580256 -10.4025741849789
"tr_5_17.fasta" -2.87173126450598 -11.2134466832393
"tr_5_18.fasta" -2.87146981215784 -11.2104867025192
"tr_5_19.fasta" -3.25413569579775 -10.3064585402122
"tr_5_2.fasta" -2.87173126450598 -11.2134466832393
"tr_5_20.fasta" -2.87173126450598 -11.2134466832393
"tr_5_21.fasta" -3.26857949580256 -10.4025741849789
"tr_5_22.fasta" -3.26857949580256 -10.4025741849789
"tr_5_23.fasta" -3.26857949580256 -10.4025741849789
"tr_5_24.fasta" -3.26857949580256 -10.4025741849789
"tr_5_25.fasta" -2.87146981215784 -11.2104867025192
"tr_5_26.fasta" -3.26857949580256 -10.4025741849789
"tr_5_27.fasta" -3.26857949580256 -10.4025741849789
"tr_5_28.fasta" -3.26857949580256 -10.4025741849789
"tr_5_29.fasta" -3.26857949580256 -10.4025741849789
"tr_5_3.fasta" -1.29367351900389 -9.44550046316841
"tr_5_30.fasta" -2.87146981215784 -11.2104867025192
"tr_5_31.fasta" -3.26857949580256 -10.4025741849789
