"V1" "V2"
"tr_3_pm_1_6.fasta" "438"
"tr_3_pm_1_7.fasta" "447"
"tr_3_pm_1_8.fasta" "433"
"tr_3_pm_1_9.fasta" "428"
"tr_3_pm_1_10.fasta" "456"
"tr_3_pm_1_11.fasta" "425"
"tr_3_pm_1_12.fasta" "416"
"tr_3_pm_1_13.fasta" "436"
"tr_3_pm_1_14.fasta" "461"
"tr_3_pm_1_15.fasta" "439"
"tr_3_pm_1_16.fasta" "405"
"tr_3_pm_1_17.fasta" "424"
"tr_3_pm_1_18.fasta" "434"
"tr_3_pm_1_19.fasta" "446"
"tr_3_pm_1_20.fasta" "407"
"tr_3_pm_1_21.fasta" "448"
"tr_3_pm_1_22.fasta" "414"
"tr_3_pm_1_23.fasta" "446"
"tr_3_pm_1_24.fasta" "389"
"tr_3_pm_1_25.fasta" "430"
"tr_3_pm_1_26.fasta" "423"
"tr_3_pm_1_27.fasta" "396"
"tr_3_pm_1_28.fasta" "431"
"tr_3_pm_1_29.fasta" "422"
"tr_3_pm_1_30.fasta" "413"
"tr_3_pm_1_31.fasta" "446"
"tr_3_pm_1_32.fasta" "430"
"tr_3_pm_1_33.fasta" "418"
"tr_3_pm_1_34.fasta" "419"
"tr_3_pm_1_35.fasta" "416"
"tr_3_pm_1_36.fasta" "425"
"tr_3_pm_1_37.fasta" "440"
"tr_3_pm_1_38.fasta" "442"
"tr_3_pm_1_39.fasta" "457"
"tr_3_pm_1_40.fasta" "424"
"tr_3_pm_2_1.fasta" "419"
"tr_3_pm_2_2.fasta" "425"
"tr_3_pm_2_3.fasta" "431"
"tr_3_pm_2_4.fasta" "414"
"tr_3_pm_2_5.fasta" "388"
"tr_3_pm_2_6.fasta" "433"
"tr_3_pm_2_7.fasta" "424"
"tr_3_pm_2_8.fasta" "440"
"tr_3_pm_2_9.fasta" "424"
"tr_3_pm_2_10.fasta" "436"
"tr_3_pm_2_11.fasta" "418"
"tr_3_pm_2_12.fasta" "409"
"tr_3_pm_2_13.fasta" "448"
"tr_3_pm_2_14.fasta" "425"
"tr_3_pm_2_15.fasta" "463"
"tr_3_pm_2_16.fasta" "403"
"tr_3_pm_2_17.fasta" "425"
"tr_3_pm_2_18.fasta" "424"
"tr_3_pm_2_19.fasta" "409"
"tr_3_pm_2_20.fasta" "426"
"tr_3_pm_2_21.fasta" "442"
"tr_3_pm_2_22.fasta" "434"
"tr_3_pm_2_23.fasta" "417"
"tr_3_pm_2_24.fasta" "453"
"tr_3_pm_2_25.fasta" "433"
"tr_3_pm_2_26.fasta" "433"
"tr_3_pm_2_27.fasta" "401"
"tr_3_pm_2_28.fasta" "421"
"tr_3_pm_2_29.fasta" "416"
"tr_3_pm_2_30.fasta" "433"
"tr_3_pm_3_1.fasta" "887"
"tr_3_pm_3_2.fasta" "906"
"tr_3_pm_3_3.fasta" "899"
"tr_3_pm_3_4.fasta" "912"
"tr_3_pm_3_5.fasta" "911"
"tr_3_pm_3_6.fasta" "896"
"tr_3_pm_3_7.fasta" "901"
"tr_3_pm_3_8.fasta" "914"
"tr_3_pm_3_9.fasta" "909"
"tr_3_pm_3_10.fasta" "913"
"tr_3_pm_3_11.fasta" "894"
"tr_3_pm_3_12.fasta" "903"
"tr_3_pm_3_13.fasta" "897"
"tr_3_pm_3_14.fasta" "894"
"tr_3_pm_3_15.fasta" "895"
"tr_3_pm_3_16.fasta" "910"
"tr_3_pm_3_17.fasta" "901"
"tr_3_pm_3_18.fasta" "904"
"tr_3_pm_3_19.fasta" "890"
"tr_3_pm_3_20.fasta" "893"
"tr_3_pm_3_21.fasta" "922"
"tr_3_pm_3_22.fasta" "909"
"tr_3_pm_3_23.fasta" "898"
"tr_3_pm_3_24.fasta" "903"
"tr_3_pm_3_25.fasta" "905"
"tr_3_pm_3_26.fasta" "902"
"tr_3_pm_3_27.fasta" "909"
"tr_3_pm_3_28.fasta" "909"
"tr_3_pm_3_29.fasta" "912"
"tr_3_pm_3_30.fasta" "895"
"tr_4_pm_1_1.fasta" "490"
"tr_4_pm_1_2.fasta" "493"
"tr_4_pm_1_3.fasta" "494"
"tr_4_pm_1_4.fasta" "501"
"tr_4_pm_1_5.fasta" "480"
"tr_4_pm_1_6.fasta" "478"
"tr_4_pm_1_7.fasta" "497"
"tr_4_pm_1_8.fasta" "502"
"tr_4_pm_1_9.fasta" "486"
"tr_4_pm_1_10.fasta" "497"
"tr_4_pm_1_11.fasta" "493"
"tr_4_pm_1_12.fasta" "479"
